team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Tension nae leni FC,w,3,4.0,Neto,0.0,Sánchez,15.0,-15.0
dazzoomzzoom,w,15,16.0,Nkunku,1.0,Maddison,15.0,-14.0
dazzoomzzoom,f,16,17.0,Lamptey,1.0,Huijsen,14.0,-13.0
dazzoomzzoom,w,5,6.0,Strand Larsen,2.0,Delap,12.0,-10.0
Premier XI,w,4,5.0,Bernardo,1.0,Rogers,10.0,-9.0
dazzoomzzoom,w,15,16.0,Disasi,0.0,Milenković,9.0,-9.0
Dragon riders,f,9,10.0,Darwin,2.0,Gakpo,9.0,-7.0
Masala Pan,w,2,3.0,Burn,0.0,Davis,7.0,-7.0
dazzoomzzoom,w,11,12.0,Johnstone,0.0,Henderson,7.0,-7.0
dazzoomzzoom,w,11,12.0,N.Semedo,2.0,Young,9.0,-7.0
