id,points,total_points,event_transfers,points_on_bench,entry,event
120000,56,56,0,0,265472,1
513210,41,97,0,0,265472,2
971955,32,129,0,0,265472,3
1430700,48,177,0,0,265472,4
1889445,41,218,0,0,265472,5
2348190,11,229,0,0,265472,6
2806935,43,272,0,0,265472,7
3254068,23,295,0,0,265472,8
3712813,26,321,0,0,265472,9
4171558,34,355,0,0,265472,10
4630303,48,403,0,0,265472,11
5089048,41,444,0,0,265472,12
5547793,69,513,0,0,265472,13
6006538,47,560,0,0,265472,14
6465283,21,581,0,0,265472,15
6989563,42,623,0,0,265472,16
7513843,24,647,0,0,265472,17
8038123,38,685,0,0,265472,18
8562403,31,716,0,0,265472,19
9086683,0,716,0,0,265472,20
