team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Premier XI,w,24,25.0,Marmoush,17.0,Vardy,2.0,15.0
Premier XI,w,22,23.0,Kluivert,13.0,Johnson,0.0,13.0
Masala Pan,w,5,6.0,McNeil,15.0,Onana,2.0,13.0
Cant win fc,w,28,29.0,Elanga,16.0,Tel,3.0,13.0
Lulli XI,w,25,26.0,M.Asensio,15.0,Schade,3.0,12.0
Lulli XI,w,24,25.0,Ederson M.,11.0,Sánchez,0.0,11.0
Cant win fc,f,22,23.0,Szoboszlai,13.0,Sancho,2.0,11.0
dazzoomzzoom,f,21,22.0,Darwin,11.0,Evanilson,0.0,11.0
Masala Pan,w,21,22.0,Mateta,13.0,Vardy,2.0,11.0
Premier XI,w,18,19.0,G.Jesus,12.0,Calvert-Lewin,1.0,11.0
