team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Trust the process,f,6,7,Martinelli,1,Rice,11,-10
Trust the process,f,6,7,Dewsbury-Hall,0,Gibbs-White,4,-4
Lulli XI,w,6,7,Doku,1,Rogers,5,-4
dazzoomzzoom,f,6,7,Stones,0,Andersen,3,-3
Tension nae leni FC,f,6,7,Minteh,2,Tavernier,3,-1
dazzoomzzoom,f,6,7,Bernardo,1,Iwobi,2,-1
Tension nae leni FC,f,6,7,Bergvall,0,Johnson,1,-1
Trust the process,f,6,7,Lewis,0,White,0,0
Watermelon FC,w,6,7,Schade,1,Madueke,0,1
dazzoomzzoom,w,6,7,Iwobi,2,Yeremy,1,1
Cant win fc,f,6,7,Konsa,2,Digne,1,1
Tension nae leni FC,f,6,7,Gravenberch,2,Szoboszlai,1,1
bend it like rice,w,6,7,Isidor,1,Solanke,0,1
dazzoomzzoom,w,6,7,Stach,2,Hudson-Odoi,1,1
Lulli XI,w,6,7,Richards,3,Murillo,0,3
bend it like rice,w,6,7,Ndiaye,7,P.M.Sarr,1,6
Watermelon FC,w,6,7,Rúben,9,Rodon,1,8
