team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Lulli XI,w,15,16.0,Schade,0.0,Rogers,15.0,-15.0
Lulli XI,w,12,13.0,De Ligt,2.0,Thiaw,16.0,-14.0
dazzoomzzoom,w,2,3.0,Zubimendi,1.0,Enzo,12.0,-11.0
dazzoomzzoom,f,3,4.0,Ndiaye,5.0,Zubimendi,16.0,-11.0
Watermelon FC,w,23,24.0,O'Reilly,1.0,Konaté,11.0,-10.0
Trust the process,f,6,7.0,Martinelli,1.0,Rice,11.0,-10.0
Lulli XI,w,2,3.0,Stones,1.0,Diouf,10.0,-9.0
bend it like rice,w,28,29.0,Andersen,0.0,Hincapie,9.0,-9.0
Watermelon FC,w,23,24.0,Schade,-2.0,Gordon,6.0,-8.0
Watermelon FC,w,22,23.0,Kroupi.Jr,1.0,Igor Jesus,9.0,-8.0
