name,gw,pos
Faaiz,1,1
Ali,1,2
Feroze,1,3
Noman,1,3
Sheheryar,1,5
Kumail,1,6
Danial,1,6
Noman,2,1
Faaiz,2,2
Ali,2,3
Feroze,2,4
Kumail,2,5
Sheheryar,2,5
Danial,2,7
Faaiz,3,1
Noman,3,2
Ali,3,3
Kumail,3,4
Feroze,3,5
Danial,3,6
Sheheryar,3,7
Noman,4,1
Faaiz,4,1
Ali,4,3
Danial,4,4
Kumail,4,5
Feroze,4,6
Sheheryar,4,7
Faaiz,5,1
Noman,5,2
Ali,5,3
Danial,5,4
Feroze,5,5
Kumail,5,6
Sheheryar,5,7
Faaiz,6,1
Noman,6,2
Danial,6,3
Kumail,6,4
Ali,6,5
Feroze,6,6
Sheheryar,6,7
Faaiz,7,1
Noman,7,2
Danial,7,3
Kumail,7,4
Feroze,7,5
Ali,7,6
Sheheryar,7,7
Faaiz,8,1
Noman,8,2
Kumail,8,3
Danial,8,4
Feroze,8,5
Ali,8,6
Sheheryar,8,7
Faaiz,9,1
Noman,9,2
Kumail,9,3
Danial,9,4
Ali,9,5
Feroze,9,6
Sheheryar,9,7
Faaiz,10,1
Kumail,10,2
Noman,10,3
Danial,10,4
Feroze,10,5
Ali,10,6
Sheheryar,10,7
Faaiz,11,1
Kumail,11,2
Noman,11,3
Danial,11,4
Ali,11,5
Feroze,11,6
Sheheryar,11,7
Kumail,12,1
Faaiz,12,2
Noman,12,3
Danial,12,4
Ali,12,5
Feroze,12,6
Sheheryar,12,7
Kumail,13,1
Faaiz,13,2
Noman,13,3
Danial,13,4
Feroze,13,5
Ali,13,5
Sheheryar,13,7
Kumail,14,1
Faaiz,14,2
Noman,14,3
Danial,14,4
Feroze,14,5
Ali,14,6
Sheheryar,14,7
Kumail,15,1
Faaiz,15,2
Noman,15,3
Danial,15,4
Feroze,15,5
Ali,15,6
Sheheryar,15,7
Faaiz,16,1
Kumail,16,2
Noman,16,3
Danial,16,4
Ali,16,5
Feroze,16,6
Sheheryar,16,7
Faaiz,17,1
Kumail,17,2
Noman,17,3
Danial,17,4
Sheheryar,17,5
Ali,17,6
Feroze,17,7
Faaiz,18,1
Kumail,18,2
Noman,18,2
Danial,18,4
Sheheryar,18,5
Ali,18,6
Feroze,18,7
Faaiz,19,1
Kumail,19,2
Noman,19,3
Danial,19,4
Sheheryar,19,5
Ali,19,6
Feroze,19,7
Faaiz,20,1
Kumail,20,2
Noman,20,3
Danial,20,4
Sheheryar,20,5
Feroze,20,6
Ali,20,7
Faaiz,21,1
Kumail,21,2
Noman,21,3
Danial,21,4
Sheheryar,21,5
Feroze,21,6
Ali,21,7
Faaiz,22,1
Kumail,22,2
Noman,22,3
Danial,22,4
Sheheryar,22,5
Feroze,22,6
Ali,22,7
Faaiz,23,1
Kumail,23,2
Noman,23,3
Danial,23,4
Sheheryar,23,5
Ali,23,6
Feroze,23,7
Faaiz,24,1
Kumail,24,2
Noman,24,3
Danial,24,4
Sheheryar,24,4
Feroze,24,6
Ali,24,7
Faaiz,25,1
Kumail,25,2
Noman,25,3
Danial,25,4
Sheheryar,25,5
Feroze,25,6
Ali,25,7
Kumail,26,1
Faaiz,26,1
Noman,26,3
Danial,26,4
Sheheryar,26,5
Feroze,26,6
Ali,26,7
Kumail,27,1
Faaiz,27,2
Noman,27,3
Danial,27,4
Sheheryar,27,5
Feroze,27,6
Ali,27,7
Kumail,28,1
Faaiz,28,2
Noman,28,3
Danial,28,4
Sheheryar,28,5
Feroze,28,6
Ali,28,7
Kumail,29,1
Faaiz,29,2
Noman,29,3
Danial,29,4
Sheheryar,29,5
Feroze,29,6
Ali,29,7
Faaiz,30,1
Kumail,30,2
Noman,30,3
Danial,30,4
Sheheryar,30,5
Feroze,30,6
Ali,30,7
